method,methodLabel,brand,category,publicAlgo,decadeAmbiguous,era,pattern,rule,example,confidence,abstainWhen,sources
1,Year-first numeric (YYMM/YYWW),Alliance / Unimac,Commercial laundry,Yes,Yes,US-built (~mid-2000s–present),YYMMnnnnnn,"digits 1-2 = year, digits 3-4 = month (01-12); month reported only when 01-12",1505000001 → May 2015,high,serial is neither US-domestic YYMM nor an IPSO trailing-letter code (verify with Alliance),https://homespy.io/alliance-laundry-serial-lookup | http://www.appliance411.com/service/date-code.php
1,Year-first numeric (YYMM/YYWW),Alliance / Unimac,Commercial laundry,Yes,Yes,IPSO / European (Czech-built),…[YearLetter][MonthLetter],"date is the LAST two letters: penultimate = year (cycles ~20 yrs: …D=2015,F=2016,H=2017,K=2018,M=2019,Q=2020), last = month (two letters/month: Apr=G/H, May=J/K, Nov=V/Y). Leading digits are a plant/sequence code, NOT the date. VALIDATED vs Alliance ship dates (decodes manufacture date; ship ~1-2 mo later)",40F002829FH → Apr 2016 (Alliance ship 5/26/2016); 40F003349MK → May 2019 (ship 7/1/2019),high,,
1,Year-first numeric (YYMM/YYWW),Alliance / Unimac,Commercial laundry,Yes,Yes,legacy US letter-prefixed,[letter]…,leading-digit rule does not apply — verify,—,low,,
1,Year-first numeric (YYMM/YYWW),AAON,HVAC (rooftop/DOAS),Yes,Yes,Style 1,YYYYMM…,"digits 1-4 = full year, 5-6 = month",200108AKG… → Aug 2001,high,serial shape matches none of AAON’s 3 styles,https://www.building-center.org/aaon-hvac-age/ | https://www.stewartchi.com/aaon.html
1,Year-first numeric (YYMM/YYWW),AAON,HVAC (rooftop/DOAS),Yes,Yes,Style 2,YY…,digits 1-2 = year (2-digit),160901518 → 2016,medium,,
1,Year-first numeric (YYMM/YYWW),A. O. Smith,Water heaters,Yes,No,~2008–present,YYWWnnnnnn,"digits 1-2 = year, 3-4 = week (01-52)",2108… → wk8 2021,high,prefix is not YYWW / MMYY / letter+YY,https://inspectapedia.com/plumbing/AO-Smith-Water-Heater-Age-Manuals.php | https://www.building-center.org/a-o-smith-water-heater-age/
1,Year-first numeric (YYMM/YYWW),A. O. Smith,Water heaters,Yes,No,pre-2008 letter,[MonthLetter]YY…,"letter = month (A=Jan…M=Dec, no I), next 2 digits = year",B01… → Feb 2001,medium,,
1,Year-first numeric (YYMM/YYWW),State Water Heaters,Water heaters,Yes,No,~2008–present,YYWW…,"A.O. Smith family scheme: digits 1-2 = year, 3-4 = week",1523… → wk23 2015,medium,prefix not YYWW / letter+YY,https://www.building-center.org/state-water-heater-age/
1,Year-first numeric (YYMM/YYWW),State Water Heaters,Water heaters,Yes,No,legacy,[MonthLetter]YY…,"letter = month, next 2 digits = year",C05… → Mar 2005,medium,,
1,Year-first numeric (YYMM/YYWW),Raypak,Boilers / pool heaters,Yes,No,1995–present,YYMMnnnnnn (10-digit),"digits 1-2 = year, 3-4 = month",1604304448 → Apr 2016,medium,first 4 digits give no valid month in either order,https://www.building-center.org/raypak-hvac-age/ | https://www.raypak.com/how-to-read-a-raypak-model-number/
