Brand,Category,Method (our assumption),Our decode rule,Worked example,Confidence,Who to call / reference,Vendor confirms? (Y/N),Vendor's actual method (if different),Verified by,Date verified
Alliance / Unimac,Commercial laundry,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, digits 3-4 = month (01-12); month reported only when 01-12",1505000001 → May 2015,high,Alliance Laundry tech support / homespy.io lookup,,,,
AAON,HVAC (rooftop/DOAS),M1 — Year-first numeric (YYMM/YYWW),"digits 1-4 = full year, 5-6 = month",200108AKG… → Aug 2001,high,https://www.building-center.org/aaon-hvac-age/,,,,
A. O. Smith,Water heaters,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = week (01-52)",2108… → wk8 2021,high,https://inspectapedia.com/plumbing/AO-Smith-Water-Heater-Age-Manuals.php,,,,
State Water Heaters,Water heaters,M1 — Year-first numeric (YYMM/YYWW),"A.O. Smith family scheme: digits 1-2 = year, 3-4 = week",1523… → wk23 2015,medium,https://www.building-center.org/state-water-heater-age/,,,,
Raypak,Boilers / pool heaters,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = month",1604304448 → Apr 2016,medium,https://www.building-center.org/raypak-hvac-age/,,,,
Trane,HVAC,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = week",1204… → wk4 2012,high,https://www.building-center.org/trane-hvac-age/,,,,
Daikin,HVAC,M1 — Year-first numeric (YYMM/YYWW),"ignore first 4 chars; chars 5-6 = year, 7-8 = month",….1209… → Sep 2012,medium,https://inspectorhandbook.com/hvac/daikin,,,,
Lennox,HVAC,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = plant, 3-4 = year, 5th char = month letter (A=Jan…M=Dec, no I)",5621M99989 → Dec 2021,medium,https://www.building-center.org/lennox-hvac-age/,,,,
Manitowoc Ice,Ice machines,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = month",050164303 → Jan 2005,high,https://www.easyice.com/how-to-read-a-manitowoc-serial-number,,,,
Scotsman,Ice machines,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = month; digits 5-8 = site ID",0711… → Nov 2007,high,https://www.partstown.com/cm/resource-center/guides/gd2/how-to-read-a-scotsman-serial-number,,,,
Grundfos,Pumps,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = ISO week",PC 0833 → wk33 2008,high,Grundfos support — PC (YYWW) field on nameplate,,,,
Armstrong Fluid Technology,Pumps,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = month",0106 → Jun 2001,medium,Armstrong online serial/parts lookup,,,,
Wilo,Pumps,M1 — Year-first numeric (YYMM/YYWW),"digits 1-2 = year, 3-4 = week",2423 → wk23 2024,medium,https://cms.media.wilo.com/cdndoc/wilo666890/8475454/wilo666890.pdf,,,,
Baldor (ABB),Electric motors,M1 — Year-first numeric (YYMM/YYWW),"skip plant letter; next 2 = year, 2 = month, 2 = day",C1701181132 → 2017-01-18,medium,ABB/Baldor support (BEC-330 date-code chart for legacy),,,,
Carrier,HVAC,M2 — Week/Month-first numeric (WWYY/MMYY),"digits 1-2 = WEEK, 3-4 = year (week-then-year — reverse of Trane)",0180A… → wk1 1980,high,https://www.building-center.org/carrier-hvac-age/,,,,
Rheem / Ruud (HVAC),HVAC,M2 — Week/Month-first numeric (WWYY/MMYY),"after 4-letter prefix: digits 1-2 = week, 3-4 = year",RHLN0820… → wk8 2020,high,https://www.pickhvac.com/hvac/age-serial-number/rheem/,,,,
Rheem / Ruud (Water heaters),Water heaters,M2 — Week/Month-first numeric (WWYY/MMYY),first 4 digits = month then year (MMYY),RH0806… → Aug 2006,high,https://www.rheem.com/how-to-locate-and-read-your-rheem-water-heating-serial-numbers/,,,,
Marley / SPX Cooling,Cooling towers,M2 — Week/Month-first numeric (WWYY/MMYY),last 2 digits of serial ≈ year of manufacture OR reconstruction,…13 → 2013,medium,SPX Cooling customer service (serial lookup),,,,
Bradford White,Water heaters,M3 — Alphabetic date code,"letter 1 = year on 20-yr cycle (A B C D E F G H J K L M N P S T W X Y Z from 1984, skip I O Q R U V); letter 2 = month (A=Jan…M=Dec, no I); resolve to most recent plausible year",SE… → May 2018; ZK… → Oct 2023,high,Bradford White FAQ date-code chart (bradfordwhite.com),,,,
Niles Steel Tank,Storage tanks / water heaters,M3 — Alphabetic date code,Bradford White subsidiary — same letter code exactly,SL… → Nov 2018,medium,Bradford White (parent) tech support,,,,
Lochinvar,Boilers / water heaters,M3 — Alphabetic date code,"20-yr letter cycle (A=1964/1984/2004/2024), same skipped letters as BW; resolve most recent plausible",A… → 2004/2024,medium,Lochinvar Technical Service 800-722-2101,,,,
Hoshizaki,Ice machines,M3 — Alphabetic date code,trailing letter = month (A=Jan…L=Dec) is RELIABLE; leading year-letter mapping is CONTRADICTORY across sources → abstain on year,…B → February (year unresolved),medium,https://www.easyice.com/how-to-read-a-hoshizaki-serial-number/,,,,
York,HVAC,M3 — Alphabetic date code,"chars 2 & 4 = year digits, char 3 = month letter",W1G7… → Jul 2017,medium,https://www.pickhvac.com/hvac/age-serial-number/york/,,,,
Bell & Gossett (Xylem),Pumps,M3 — Alphabetic date code,"letter = month (A=Jan…L=Dec); the two year digits are REVERSED (2023 → ""32"")",F32 → Jun 2023,medium,Xylem / B&G tech support (model date-code chart),,,,
Marathon Motors (Regal),Electric motors,M3 — Alphabetic date code,"chart-dependent, letters recur across decades",JFD182T… → Apr 2010,low,Regal/Marathon — Date Code Chart Form 4638E,,,,
Mitsubishi Electric,HVAC (mini-split/VRF),M4 — Partial/single-digit year — decade-ambiguous,"char 1 = LAST DIGIT of (fiscal) year — DECADE NOT ENCODED; char 2 = month (1-9, X/Y/Z=Oct/Nov/Dec). Must corroborate decade with ANSI plate date / refrigerant (R22=old, R410A~2004+, R32~2018+)",6X…T → Oct 2006 OR 2016 (abstain on year),low,Mitsubishi Electric Technical Support (confirm decade from full serial),,,,
Cummins / Onan,Generators,M4 — Partial/single-digit year — decade-ambiguous,"letter = month (A=Jan…, includes I so J=Oct), next 2 digits = year; serial ranges reused ~every 10 yrs → decade-ambiguous",J980815794 → Oct 1998,medium,Cummins/Onan Customer Response 800-888-6626 / 800-286-6467,,,,
ASCO,Transfer switches,M4 — Partial/single-digit year — decade-ambiguous,"digit 1 = year (single digit → decade ambiguous), digits 2-3 = month; NOT corroborated to official docs","512… → month 12, year ?…5",low,ASCO Power Services 800-800-2726,,,,
McQuay (Daikin Applied),HVAC (applied/commercial),M6 — Lookup required (no public algorithm),no single universal rule; identify product line or consult Daikin Applied,—,low,https://www.building-center.org/mcquay-hvac-age/,,,,
Bryan Boilers,Boilers,M6 — Lookup required (no public algorithm),"sequential serial; NOT ""Bryant"" HVAC — build year via ASME/National Board plate",—,low,"Bryan Steam (Peru, IN) — serial+model; or National Board # lookup",,,,
Fulton,Boilers,M6 — Lookup required (no public algorithm),ASME pressure vessel — age via National Board registration / rating plate,—,low,Fulton factory / National Board # registration,,,,
Patterson-Kelley,Boilers / water heaters,M6 — Lookup required (no public algorithm),no public decode — rating-plate date or National Board number,—,low,P-K technical service / National Board # / rating plate,,,,
BAC (Baltimore Aircoil),Cooling towers,M6 — Lookup required (no public algorithm),no published algorithm — nameplate date or myBAC / factory lookup,—,low,Local BAC rep / myBAC registration (build records by serial),,,,
Evapco,Cooling towers,M6 — Lookup required (no public algorithm),no manufacturer algorithm — nameplate date or Evapco factory lookup,—,low,Evapco factory / Replacement Parts Quote (serial lookup),,,,
Taco,Pumps,M6 — Lookup required (no public algorithm),"model/serial encodes construction, not date — read motor date stamp or nameplate",—,low,Taco tech support (or read motor date stamp),,,,
Aurora / PACO (Pentair),Pumps,M6 — Lookup required (no public algorithm),no public algorithm for industrial pumps (pool-product Julian scheme does NOT apply),—,low,Pentair support 800-831-7133,,,,
Kohler (generators),Generators,M6 — Lookup required (no public algorithm),genset serial not consumer-decodable — Model+Spec+Serial to Kohler (engine scheme ≠ genset),—,low,Kohler Power — provide Model+Spec+Serial (assist.kohler.com),,,,
Generac,Generators,M6 — Lookup required (no public algorithm),"sequential serial — read data-tag production date or Generac lookup (ignore ""first 2 digits=year"" folk rule)",—,low,Generac Customer Support (support.generac.com),,,,
Caterpillar,Generators,M6 — Lookup required (no public algorithm),no year digit in serial — build year via Cat SIS / dealer using full PIN,—,low,Cat dealer / Cat SIS (parts.cat.com) with full PIN,,,,
Zenith,Transfer switches,M6 — Lookup required (no public algorithm),"order-specific serial, no public date decode — nameplate or ABB/GE lookup",—,low,ABB/GE Zenith service (serial + catalog #),,,,
Pellerin Milnor,Commercial laundry,M6 — Lookup required (no public algorithm),"internal date code, not publicly decodable — nameplate date or Milnor parts",—,low,Milnor parts dept 504-712-7775,,,,
